City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Mbandaka,CD,2022-02-12 15:15:07,0.0487,18.2603,92.25,33,71,3.67,broken clouds
177,Veles,MK,2022-02-12 15:15:07,41.7156,21.7756,50.45,56,100,9.33,overcast clouds
178,Carahue,CL,2022-02-12 15:15:08,-38.7,-73.1667,77.2,22,19,4.9,few clouds
179,Yuksekova,TR,2022-02-12 15:15:08,37.5736,44.2872,30.83,71,2,5.23,clear sky
180,Mar Del Plata,AR,2022-02-12 15:14:45,-38.0023,-57.5575,64.42,64,20,23.02,few clouds
181,Cherskiy,RU,2022-02-12 15:16:08,68.75,161.3,-24.21,98,100,8.68,overcast clouds
182,Comodoro Rivadavia,AR,2022-02-12 15:15:01,-45.8667,-67.5,84.06,26,0,8.05,clear sky
183,Bubaque,GW,2022-02-12 15:16:09,11.2833,-15.8333,82.44,48,0,3.6,clear sky
184,Namibe,AO,2022-02-12 15:16:09,-15.1961,12.1522,82.04,57,62,11.48,broken clouds
185,Saint George,US,2022-02-12 15:15:42,37.1041,-113.5841,50.34,28,0,11.99,clear sky
186,Tucuma,BR,2022-02-12 15:16:09,-0.1833,-50.05,83.68,69,43,7.16,scattered clouds
187,Tautira,PF,2022-02-12 15:16:10,-17.7333,-149.15,75.22,76,100,11.18,light rain
188,Kalemie,CD,2022-02-12 15:16:10,-5.9475,29.1947,76.32,76,77,4.23,broken clouds
189,Hami,CN,2022-02-12 15:16:11,42.8,93.45,28.96,56,83,1.45,broken clouds
190,Pochutla,MX,2022-02-12 15:16:11,15.7432,-96.4661,78.62,51,7,2.57,clear sky
191,Yanam,IN,2022-02-12 15:16:11,16.7333,82.2167,79.2,83,13,5.61,few clouds
192,Munster,DE,2022-02-12 15:16:12,51.9624,7.6257,45.88,53,0,8.05,clear sky
193,Novyy Nekouz,RU,2022-02-12 15:16:12,57.9029,38.07,19.81,89,89,9.69,overcast clouds
194,Tilichiki,RU,2022-02-12 15:16:12,60.4667,166.1,-21.3,92,11,8.93,few clouds
195,Asau,RO,2022-02-12 15:16:13,46.4333,26.4,37.76,64,100,4.38,overcast clouds
196,Lodja,CD,2022-02-12 15:16:13,-3.4833,23.4333,88.27,51,86,3.38,overcast clouds
197,Todos Santos,MX,2022-02-12 15:16:13,23.45,-110.2167,67.01,31,13,5.08,few clouds
198,Byron Bay,AU,2022-02-12 15:13:30,-28.65,153.6167,69.87,66,79,14.85,broken clouds
199,Saldanha,ZA,2022-02-12 15:16:14,-33.0117,17.9442,66.79,89,100,12.71,overcast clouds
200,Ust-Ishim,RU,2022-02-12 15:16:14,57.6935,71.1665,1.63,93,100,9.17,overcast clouds
201,Mahajanga,MG,2022-02-12 15:16:15,-15.7167,46.3167,82.13,74,45,6.93,scattered clouds
