City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Abu Zabad,SD,2022-02-05 00:24:00,12.35,29.25,62.67,17,88,16.62
274,Berlevag,NO,2022-02-05 00:22:47,70.8578,29.0864,22.46,86,100,31.43
275,Raudeberg,NO,2022-02-05 00:24:00,61.9875,5.1352,39.2,85,100,11.99
276,Narsaq,GL,2022-02-05 00:25:01,60.9167,-46.05,-1.8,60,11,13.82
277,Ixtapa,MX,2022-02-05 00:25:01,20.7,-105.2,74.43,69,75,8.05
278,Conceicao Do Araguaia,BR,2022-02-05 00:25:01,-8.2578,-49.2647,76.03,90,94,2.33
279,Alta Floresta,BR,2022-02-05 00:25:02,-9.8756,-56.0861,74.5,91,18,0.98
280,Bari,IT,2022-02-05 00:25:02,41.1177,16.8512,51.84,87,0,1.99
281,Germantown,US,2022-02-05 00:25:03,39.1732,-77.2717,37.94,83,100,1.01
282,Gizo,SB,2022-02-05 00:25:03,-8.103,156.8419,84.43,75,100,12.06
283,Sur,OM,2022-02-05 00:25:03,22.5667,59.5289,69.33,55,6,7.58
284,Lajedo,BR,2022-02-05 00:25:04,-8.6636,-36.32,69.85,83,50,9.17
285,Filadelfia,US,2022-02-05 00:20:04,39.9523,-75.1638,35.19,92,100,1.99
286,Cascais,PT,2022-02-05 00:25:04,38.6979,-9.4215,54.52,71,94,1.01
287,Aklavik,CA,2022-02-05 00:25:05,68.2191,-135.0107,-19.37,69,0,8.05
288,Varkaus,FI,2022-02-05 00:25:05,62.3153,27.873,18.3,90,100,16.04
289,Petropavlovsk-Kamchatskiy,RU,2022-02-05 00:23:18,53.0452,158.6483,27.19,59,75,15.66
290,Bang Saphan,TH,2022-02-05 00:25:05,11.2126,99.5117,73.35,86,34,1.63
291,Joao Pinheiro,BR,2022-02-05 00:25:06,-17.7425,-46.1725,71.11,81,98,3.51
292,Nagua,DO,2022-02-05 00:25:06,19.3832,-69.8474,75.25,94,40,11.5
